id,name,city,province,latitud,longitud
1598,Monte Caseros,Monte Caseros,Corrientes,"-302.514.148,00","-576.435.669,00"
618,Benito Juarez,Benito Juarez,Buenos Aires,"-376.784.646,00","-598.232.962,00"
2952,San Vicente,San Vicente,Misiones,"-269.914.885,00","-544.847.852,00"
1437,Eduardo Castex,Eduardo Castex,La Pampa,"-359.042.205,00","-64.273.898,00"
2765,Hernando,Hernando,Córdoba,,
1335,Brinkmann,Brinkmann,Córdoba,,
674,Oran,Oran,Salta,"-231.280.681,00","-643.284.675,00"
1488,Bragado,Bragado,Buenos Aires,,
58,San Justo,San Justo,Buenos Aires,"-346.277.955,00","-585.673.345,00"
1574,Empedrado Acceso,Empedrado,Corrientes,"-279.534.113,00","-587.946.224,00"
51,Villa Tesei - Gaona y Vergara,Villa Tesei,Buenos Aires,"-346.311.565,00","-586.295.056,00"
2731,General Cabrera,General Cabrera,Córdoba,"-328.150.106,00","-638.785.759,00"
3800,Caa Cati,Caa Cati,Corrientes,,
408,Terminal de Palpala,Palpala,Jujuy,"-242.577.052,00","-652.126.551,00"
328,Morteros,Morteros,Córdoba,,
2962,Montecarlo,Montecarlo,Misiones,"-265.685.503,00","-547.581.769,00"
1874,Concepcion del Uruguay Acceso,Concepcion del Uruguay,Entre Rios,"-324.865.606,00","-583.096.147,00"
3428,Acceso Santo Tome,Santo Tome,Corrientes,"-2.858.048,00","-560.859.239,00"
1762,Rio Ceballos,Rio Ceballos,Córdoba,,
2382,Chos Malal,Chos Malal,Neuquén,"-373.814.199,00","-702.654.433,00"
773,Villa Huidobro,Villa Huidobro,Córdoba,,
620,Luis Piedrabuena,Luis Piedrabuena,Santa Cruz,"-499.827.993,00","-689.089.108,00"
1493,Carlos Casares,Carlos Casares,Buenos Aires,"-356.368.557,00","-613.535.625,00"
724,Chapadmalal,Chapadmalal,Buenos Aires,"-382.094.556,00","-577.016.813,00"
2948,Puerto Esperanza,Puerto Esperanza,Misiones,"-26.016.989,00","-546.499.443,00"
585,Sierra Grande,Sierra Grande,Rio Negro,"-416.084.556,00","-653.539.324,00"
646,Villa Regina,Villa Regina,Rio Negro,"-390.969.788,00","-670.870.364,00"
107,Escobar,Escobar,Buenos Aires,"-343.552.786,00","-587.969.945,00"
4406,Devoto,Cordoba ,Córdoba,"-31.432.882,00","-620.732.147,00"
2943,Terminal de Aristobulo del Valle,Aristobulo del Valle,Misiones,"-27.094.677,00","-548.842.219,00"
3091,Wanda,Wanda,Misiones,"-259.677.486,00","-545.717.096,00"
3002,Colonia 25 de Mayo,Colonia 25 de Mayo,La Pampa,"-377.692.984,00","-677.171.409,00"
1073,Martinez,Martinez,Buenos Aires,"-344.877.281,00","-58.503.184,00"
348,Las Toscas,Las Toscas,Santa Fe,"-289.940.275,00","-595.837.069,00"
711,Ameghino,Ameghino,Buenos Aires,"-345.687.743,00","-586.934.145,00"
167,Daireaux,Daireaux,Buenos Aires,"-365.975.256,00","-617.521.984,00"
3056,Villa del Totoral,Totoral,Córdoba,,
2944,Capiovi,Capiovi,Misiones,"-269.268.636,00","-550.601.573,00"
2113,Tanti,Tanti,Córdoba,"-313.562.534,00","-645.907.287,00"
1187,Villa del Dique,Villa del Dique,Córdoba,"-321.760.314,00","-644.525.659,00"
2606,Transito,Transito,Córdoba,,
3963,Pico Truncado,Pico Truncado,Santa Cruz,"-467.974.081,00","-679.477.572,00"
4214,Villa de Maria del Rio Seco,Villa de Maria del Rio Seco,Córdoba,"-298.995.356,00","-637.232.029,00"
375,Tostado,Tostado,Santa Fe,"-292.291.896,00","-617.716.599,00"
1745,Sampacho Acceso,Sampacho,Córdoba,"-331.242.678,00","-643.443.408,00"
1091,Concepción,Concepcion,Tucumán,"-27.344.054,00","-65.589.608,00"
356,Villa Angela,Villa Angela,Chaco,"-275.703.113,00","-607.230.179,00"
567,Arias,Arias,Córdoba,,
4093,Cruce Florencio Varela,Florencio Varela,Buenos Aires,"-347.800.617,00","-582.624.139,00"
633,Fernandez,Fernandez,Santiago del Estero,"-279.278.106,00","-638.863.188,00"
374,San Cristobal,San Cristobal,Santa Fe,"-302.959.804,00","-612.230.301,00"
1614,Colon Acceso,Colón,Entre Rios,"-322.589.025,00","-582.374.954,00"
3021,Cruce San Jose,San Jose,Misiones,"-277.446.193,00","-55.784.111,00"
806,San Antonio de Padua,San Antonio De Padua,Buenos Aires,"-346.659.508,00","-586.998.855,00"
472,Berrotaran,Berrotaran,Córdoba,"-324.507.169,00","-644.103.798,00"
687,General Lamadrid,General Lamadrid,Buenos Aires,,
2956,Leandro N Alem,Leandro N. Alem,Misiones,"-276.162.806,00","-553.216.982,00"
291,Villa Giardino,Villa Giardino,Córdoba,"-313.563.514,00","-645.897.814,00"
593,Esquina,Esquina,Corrientes,"-300.197.774,00","-595.316.999,00"
2172,La Cruz Acceso,La Cruz,Corrientes,,
524,Terminal de Zapala,Zapala,Neuquén,"-389.064.632,00","-700.678.611,00"
490,Capitan Sarmiento,Capitan Sarmiento,Buenos Aires,"-341.690.113,00","-59.789.115,00"
137,Banfield,Banfield,Buenos Aires,"-347.383.726,00","-583.982.099,00"
2246,Rio Primero,Rio Primero,Córdoba,"-31.334.839,00","-636.157.697,00"
3642,Rotonda Vapor,Burzaco,Buenos Aires,"-34.833.364,00","-58.384.415,00"
3202,Rio Mayo,Rio Mayo,Chubut,,
327,Sunchales,Sunchales ,Santa Fe,"-309.443.567,00","-615.575.433,00"
344,Vera,Vera,Santa Fe,,
365,Saladas,Saladas ,Corrientes,"-282.596.259,00","-586.205.545,00"
1555,San Jose de la Dormida,San Jose de la Dormida,Córdoba,"-303.571.011,00","-639.408.588,00"
1350,Punta Mogotes,Punta Mogotes,Buenos Aires,"-380.663.996,00","-575.475.752,00"
302,Bell Ville,Bell Ville,Córdoba,"-32.607.658,00","-627.157.974,00"
2092,Salsipuedes,Salsipuedes,Córdoba,"-311.402.698,00","-642.911.905,00"
921,Quitilipi,Quitilipi,Chaco,"-268.698.845,00","-602.129.209,00"
171,Ezeiza,Ezeiza,Buenos Aires,"-34.855.545,00","-585.243.174,00"
1466,Santo Tome,Santo Tome,Corrientes,"-285.464.299,00","-560.439.312,00"
84,Las Breñas,Las Breñas ,Chaco,"-270.918.622,00","-610.843.954,00"
150,Terminal de Carhue,Carhue,Buenos Aires,"-371.761.869,00","-627.605.225,00"
180,Guamini,Guamini,Buenos Aires,"-370.098.886,00","-624.201.424,00"
3229,El Tropezon,Tropezon,Buenos Aires,"-3.459.201,00","-58.560.652,00"
2746,Garayalde,Garayalde,Chubut,"-446.890.676,00","-666.235.614,00"
584,Rawson,Rawson,Chubut,"-433.038.743,00","-650.975.427,00"
62,San Francisco Solano,San Francisco Solano,Buenos Aires,"-347.914.619,00","-583.115.673,00"
1496,Carlos Tejedor,Carlos Tejedor,Buenos Aires,"-353.946.694,00","-624.245.417,00"
1968,Plottier,Confluencia,Neuquén,"-389.561.134,00","-68.218.199,00"
258,Sarandi,Sarandi,Buenos Aires,"-346.778.791,00","-583.473.534,00"
563,El Bolson,El Bolson,Rio Negro,"-419.637.164,00","-715.367.863,00"
8957,Saldan,Saldán,Córdoba,,
1629,Parador Pinto,Pinto,Santiago del Estero,,
2171,Alvear,Alvear,Corrientes,"-290.866.267,00","-565.541.893,00"
3632,Rio Grande Terminal,Rio Grande,Tierra Del Fuego,"-537.838.988.434.966,00","-677.184.069.531.646,00"
91,Quimili,Quimili,Santiago del Estero,"-27.644.825,00","-624.139.631,00"
1551,Las Varillas,Las Varillas,Córdoba,,
366,San Lorenzo,San Lorenzo ,Corrientes,,
89,Pinedo,General Pinedo,Chaco,"-273.298.353,00","-612.865.341,00"
139,Bernal,Bernal ,Buenos Aires,"-34.715.528,00","-583.057.082,00"
240,Rojas,Rojas,Buenos Aires,"-341.990.725,00","-607.258.297,00"
260,Temperley,Temperley,Buenos Aires,,
1553,El Tio,Arroyito,Córdoba,,
2583,Balnearia,Balnearia,Córdoba,,
2585,La Para,La Para,Córdoba,,
2875,Mburucuya,Mburucuya,Corrientes,,
8419,Lomas de Vallejos Acceso,Lomas de Vallejos ,Corrientes,,
1604,Paso de los Libres Acceso,Paso de los Libres,Corrientes,"-297.253.032,00","-570.937.462,00"
113,Laferrere,Laferrere,Buenos Aires,"-34.749.705,00","-58.586.049,00"
4165,Guamini Acceso,Guamini,Buenos Aires,,
3607,Las Lajas,Las Lajas,Neuquén,"-385.469.571,00","-703.557.587,00"
3809,San Jaime de la Frontera,San Jaime de la Frontera,Entre Rios,,
935,Puente La Noria,Puente La Noria,Buenos Aires,"-347.049.466,00","-584.598.505,00"
81,Avia Terai,Avia Terai,Chaco,,
357,San Bernardo,San Bernardo,Chaco,,
2012,Chimpay,Chimpay,Rio Negro,"-391.621.487,00","-661.524.984,00"
179,General Madariaga,General Madariaga,Buenos Aires,"-369.951.422,00","-571.390.254,00"
934,Puan,Puan,Buenos Aires,"-375.415.029,00","-627.602.254,00"
